z_value,k_value,sep
825233720,217,2375
144944839,217,2375
839661353,217,2383
792023417,217,2401
790846889,217,2402
838981150,217,2403
873839082,217,2405
835920157,217,2414
894423472,217,2418
886247472,217,2419
867062921,217,2425
824989284,217,2425
862914702,217,2426
799614712,217,2433
145780740,217,2442
817017051,217,2443
139224184,217,2443
22646558,217,2459
825205746,217,2461
834895326,217,2465
869755629,217,2468
862182472,217,2474
824642497,217,2474
801295934,217,2482
810161784,217,2486
800677276,217,2493
860100734,217,2494
833263474,217,2494
836398482,217,2499
817048506,217,2504
839398233,217,2508
828214014,217,2514
793366145,217,2517
834488591,217,2533
147564723,217,2536
828308757,217,2540
887736079,217,2547
807998517,217,2553
856837070,217,2557
790982629,217,2557
827990612,217,2562
845984611,217,2576
145489183,217,2576
885032345,217,2582
821953130,217,2587
138656024,217,2595
844183920,217,2606
839564418,217,2610
819735794,217,2614
851711642,217,2619
852014003,217,2630
831911568,217,2635
852228436,217,2636
832024884,217,2636
138876953,217,2636
22712893,217,2639
827770659,217,2640
824922859,217,2644
139481034,217,2644
858723948,217,2645
148321127,217,2652
840560362,217,2659
835721351,217,2665
139939882,217,2668
143341815,217,2669
883636733,217,2671
842567041,217,2676
858288940,217,2677
799812737,217,2683
824646082,217,2684
139924665,217,2709
832343088,217,2713
810301785,217,2719
887838057,217,2721
848057062,217,2734
824925503,217,2735
824533409,217,2738
801420267,217,2739
890731110,217,2742
833389917,217,2745
812187947,217,2745
873706472,217,2748
139580838,217,2749
824555007,217,2750
860229937,217,2753
851587021,217,2762
897250471,217,2769
828980957,217,2769
856676694,217,2774
829258837,217,2781
879067806,217,2786
827987820,217,2792
865454955,217,2796
825278922,217,2802
139148950,217,2804
979981422,217,2810
143697090,217,2816
825543142,217,2817
853452595,217,2818
819991452,217,2818
844186890,217,2822
135397870,217,2828
140371360,217,2833
141879338,217,2835
886292136,217,2841
910705103,217,2842
887749131,217,2852
840487376,217,2854
790942078,217,2862
800505993,217,2865
820248875,217,2866
870143681,217,2871
911650999,217,2881
869858170,217,2881
886283885,217,2884
886280996,217,2889
859372419,217,2894
864237445,217,2899
826091679,217,2900
799817415,217,2903
831786891,217,2906
802239915,217,2915
861097624,217,2921
856973020,217,2925
827812256,217,2931
824760104,217,2939
844810165,217,2948
845687257,217,2950
831339041,217,2955
890962631,217,2956
885323732,217,2957
886079495,217,2960
801635501,217,2962
911502933,217,2965
139256381,217,2966
815252324,217,2970
872990289,217,2983
815685111,217,2985
820253463,217,2986
839657310,217,2988
793771249,217,2995
799002143,217,2997
984903700,217,3010
824536147,217,3018
864300105,217,3020
840946841,217,3022
835971958,217,3035
796722769,217,3037
794173349,217,3043
885951381,217,3046
833596844,217,3058
829011767,217,3060
824893361,217,3063
817065555,217,3063
825118069,217,3065
799757702,217,3072
843712912,217,3078
828819375,217,3078
824185549,217,3079
891553746,217,3080
840221973,217,3080
824639408,217,3089
132330942,217,3092
846702112,217,3093
846665373,217,3098
858051793,217,3103
139190095,217,3105
141119152,217,3115
845981495,217,3116
844194561,217,3123
844373322,217,3126
825097343,217,3127
819171832,217,3129
816603670,217,3129
790799185,217,3131
163650484,217,3131
794611259,217,3145
827032506,217,3149
825214353,217,3152
982199939,217,3155
825217505,217,3160
836918609,217,3161
887345121,217,3162
816629752,217,3162
140681585,217,3162
844275816,217,3169
135333962,217,3171
841848982,217,3173
147716950,217,3178
133588433,217,3179
880237489,217,3182
851193797,217,3183
810298601,217,3184
983199205,217,3186
873303641,217,3186
843618060,217,3190
882722031,217,3192
890673273,217,3195
886093350,217,3195
861503967,217,3195
145624429,217,3195
873740973,217,3198
138658619,217,3198
830444080,217,3199
801298416,217,3205
840039302,217,3215
848993691,217,3217
823170471,217,3218
839718831,217,3222
138284538,217,3228
838313711,217,3234
821990346,217,3234
825146444,217,3236
138116917,217,3236
851691997,217,3247
834469957,217,3250
799980625,217,3250
793551689,217,3264
883651400,217,3267
798705221,217,3271
861135896,217,3272
858310822,217,3273
843417941,217,3278
863069155,217,3280
140988027,217,3282
816931503,217,3284
982342258,217,3285
886759332,217,3297
839354478,217,3306
800571878,217,3311
837415751,217,3312
144955395,217,3312
802046479,217,3316
982338938,217,3320
873744171,217,3323
140556710,217,3329
812133493,217,3340
140721474,217,3351
137497192,217,3351
826740376,217,3353
793698297,217,3354
861532854,217,3357
886294977,217,3361
828801339,217,3367
