original_number,capture_iteration,capture_state,capture_number
514229,71,EVEN,346
514229,72,ODD,173
514229,73,EVEN,520
514229,74,EVEN,260
514229,75,EVEN,130
514229,76,ODD,65
514229,77,EVEN,196
514229,78,EVEN,98
514229,79,ODD,49
514229,80,EVEN,148
514229,81,EVEN,74
514229,82,ODD,37
514229,83,EVEN,112
514229,84,EVEN,56
514229,85,EVEN,28
514229,86,EVEN,14
514229,87,ODD,7
514229,88,EVEN,22
514229,89,ODD,11
514229,90,EVEN,34
514229,91,ODD,17
514229,92,EVEN,52
514229,93,EVEN,26
514229,94,ODD,13
514229,95,EVEN,40
514229,96,EVEN,20
514229,97,EVEN,10
514229,98,ODD,5
514229,99,EVEN,16
514229,100,EVEN,8
514229,101,EVEN,4
514229,102,EVEN,2
514229,103,END,1
14930352,1,EVEN,14930352
14930352,2,EVEN,7465176
14930352,3,EVEN,3732588
14930352,4,EVEN,1866294
14930352,5,ODD,933147
14930352,6,EVEN,2799442
14930352,7,ODD,1399721
14930352,8,EVEN,4199164
14930352,9,EVEN,2099582
14930352,10,ODD,1049791
14930352,11,EVEN,3149374
14930352,12,ODD,1574687
14930352,13,EVEN,4724062
14930352,14,ODD,2362031
14930352,15,EVEN,7086094
14930352,16,ODD,3543047
14930352,17,EVEN,10629142
14930352,18,ODD,5314571
14930352,19,EVEN,15943714
14930352,20,ODD,7971857
14930352,21,EVEN,23915572
14930352,22,EVEN,11957786
14930352,23,ODD,5978893
14930352,24,EVEN,17936680
14930352,25,EVEN,8968340
14930352,26,EVEN,4484170
14930352,27,ODD,2242085
14930352,28,EVEN,6726256
14930352,29,EVEN,3363128
14930352,30,EVEN,1681564
14930352,31,EVEN,840782
14930352,32,ODD,420391
14930352,33,EVEN,1261174
14930352,34,ODD,630587
14930352,35,EVEN,1891762
14930352,36,ODD,945881
14930352,37,EVEN,2837644
14930352,38,EVEN,1418822
14930352,39,ODD,709411
14930352,40,EVEN,2128234
14930352,41,ODD,1064117
14930352,42,EVEN,3192352
14930352,43,EVEN,1596176
14930352,44,EVEN,798088
14930352,45,EVEN,399044
14930352,46,EVEN,199522
14930352,47,ODD,99761
14930352,48,EVEN,299284
14930352,49,EVEN,149642
14930352,50,ODD,74821
14930352,51,EVEN,224464
14930352,52,EVEN,112232
14930352,53,EVEN,56116
14930352,54,EVEN,28058
14930352,55,ODD,14029
14930352,56,EVEN,42088
14930352,57,EVEN,21044
14930352,58,EVEN,10522
14930352,59,ODD,5261
14930352,60,EVEN,15784
14930352,61,EVEN,7892
14930352,62,EVEN,3946
14930352,63,ODD,1973
14930352,64,EVEN,5920
14930352,65,EVEN,2960
14930352,66,EVEN,1480
14930352,67,EVEN,740
14930352,68,EVEN,370
14930352,69,ODD,185
14930352,70,EVEN,556
14930352,71,EVEN,278
14930352,72,ODD,139
14930352,73,EVEN,418
14930352,74,ODD,209
14930352,75,EVEN,628
14930352,76,EVEN,314
14930352,77,ODD,157
14930352,78,EVEN,472
14930352,79,EVEN,236
14930352,80,EVEN,118
14930352,81,ODD,59
14930352,82,EVEN,178
14930352,83,ODD,89
14930352,84,EVEN,268
14930352,85,EVEN,134
14930352,86,ODD,67
14930352,87,EVEN,202
14930352,88,ODD,101
14930352,89,EVEN,304
14930352,90,EVEN,152
14930352,91,EVEN,76
14930352,92,EVEN,38
14930352,93,ODD,19
14930352,94,EVEN,58
14930352,95,ODD,29
14930352,96,EVEN,88
14930352,97,EVEN,44
14930352,98,EVEN,22
14930352,99,ODD,11
14930352,100,EVEN,34
14930352,101,ODD,17
14930352,102,EVEN,52
14930352,103,EVEN,26
14930352,104,ODD,13
14930352,105,EVEN,40
14930352,106,EVEN,20
14930352,107,EVEN,10
14930352,108,ODD,5
14930352,109,EVEN,16
14930352,110,EVEN,8
14930352,111,EVEN,4
14930352,112,EVEN,2
14930352,113,END,1
