z_value,k_value
834729178,248
857530260,199
883240556,230
816565638,204
933199831,204
779567183,173
753322584,222
876538499,173
878083907,199
24877251,217
887393557,230
137257465,248
911142776,243
972421629,168
812297256,173
731700271,222
824195251,217
137427212,217
677308811,178
756584245,191
978483018,137
845986918,217
742973295,191
884142369,230
822151258,248
718145171,222
870738126,199
927934568,137
912511338,168
829451489,204
723301774,178
847156463,248
969439524,137
892390587,168
147964790,230
853854774,217
793501249,173
725215084,209
743985429,178
879990220,168
896513061,137
691862475,209
791062942,248
754432038,191
702122306,178
946677389,199
789900780,191
145095264,199
158478688,243
845861550,199
137172808,235
772233507,173
866514743,168
829949729,235
903589063,137
159245557,168
969855739,248
135765258,217
157315092,173
149892481,199
752335027,235
844347383,230
867811814,168
781068269,204
787191409,204
860583903,173
888165101,168
804121424,204
887245894,168
683713192,178
845677980,178
805683835,248
795356179,222
817490881,235
770284515,173
757242133,178
138981184,235
872245450,248
159413255,168
804955960,235
980405888,243
138987119,235
124166774,209
851008792,186
129573560,191
180148554,137
873275194,230
871274270,199
757923635,178
143301965,217
771500339,173
812917006,204
697910961,178
716754606,191
903185292,137
871536309,137
747161135,209
752210103,178
790579655,235
153295292,137
896232272,137
842546689,230
822987994,248
917856544,243
136502157,217
21847868,235
932695302,243
920773109,235
860140415,230
738639878,178
704093251,209
4320225,137
737769180,191
848086728,230
132005846,173
945881235,173
926164912,230
27070278,137
859540339,168
788995921,248
723277272,178
27262304,137
824342674,222
779346396,222
886551409,173
878527105,199
820672200,248
833129579,230
804176017,222
907150753,230
821952198,217
847568293,199
872443880,230
793233056,204
745689055,222
749164213,178
122087348,178
147389369,230
907101072,230
753463985,204
767045563,191
982074218,217
713429612,222
951317534,230
884694048,230
117772161,209
839872891,217
914462442,243
934105042,199
972291862,243
728857092,222
148956406,199
779004493,204
776540666,235
133962086,186
919410509,243
980492069,137
865218605,168
866801073,186
877792344,243
788753405,222
826359700,186
753848569,235
850400356,173
857959803,248
750194682,235
834141572,209
793711603,217
729132967,191
815308661,248
882199127,186
964708244,168
871248357,186
122926859,209
851734281,204
931403289,230
25884805,243
163423499,243
122936307,209
787609494,204
858537186,186
813097872,173
129323442,235
741298152,191
935772195,168
864350146,199
965473300,137
977209712,137
118667087,191
784135713,173
914620934,248
807830308,186
759167237,191
896053761,168
833145585,186
770324666,173
859673858,199
26209380,137
816751762,248
878069651,230
749158768,191
969380221,248
816060600,248
939631434,186
725951554,209
871274149,168
812147332,217
777176157,204
795614148,191
927036472,230
941340379,243
985028161,217
822421007,248
822136343,217
24414348,230
140218498,186
742335178,222
931973941,243
797916605,235
719269299,178
868167877,168
138658338,217
153683668,199
22240617,217
708338595,178
140551112,230
742503493,191
911777097,230
795788448,204
907406858,168
825560175,204
790619884,248
909079597,199
684592281,178
938599267,199
146491707,217
807433998,235
861824351,173
833678564,186
718312087,209
831796454,248
938682546,168
128957564,204
886036214,168
904151750,243
687431905,209
675473590,209
734208693,209
760738284,204
855004055,199
761421707,178
787743778,173
784555225,173
709155585,178
760289558,204
703211905,209
826083809,186
821246204,248
864922039,199
974486752,137
701401456,209
788130599,222
975623003,243
766952312,222
860705312,186
718294906,209
855883699,199
750821254,235
805451934,186
908023935,230
990262606,137
735807445,191
881845451,168
959381218,168
862723311,230
799911781,191
801066231,204
174872656,199
741233821,191
870564882,199
3874271,186
765272998,173
823978051,222
734462422,209
698583964,209
140631997,186
815172537,217
872953079,217
732617663,222
805202041,235
21805600,204
931314168,243
