NUMBER,EVEN,ODD
860974330,144, 72
834431761,144, 72
858319153,144, 72
829573553,144, 72
823205741,144, 72
851487758,144, 72
833664265,144, 72
910636341,144, 72
821956228,144, 72
793597621,144, 72
821792800,144, 72
820962152,144, 72
846077236,144, 72
858352438,144, 72
825281724,144, 72
800390348,144, 72
135825762,143, 73
874023671,144, 72
879160895,144, 72
151764638,143, 73
827994835,144, 72
840221973,144, 72
794054227,144, 72
831382341,144, 72
815053725,144, 72
149140472,143, 73
848469481,144, 72
876017947,144, 72
831504131,144, 72
843783221,144, 72
856395212,144, 72
982068461,144, 72
147841079,143, 73
846262072,144, 72
812157218,144, 72
829728578,144, 72
812225172,144, 72
897250471,144, 72
886462170,144, 72
814949818,144, 72
801318738,144, 72
801151937,144, 72
848063822,144, 72
807810643,144, 72
146700383,143, 73
891565195,144, 72
838922490,144, 72
833564614,144, 72
838929173,144, 72
861796195,144, 72
815060159,144, 72
814602906,144, 72
835010540,144, 72
853814061,144, 72
845953887,144, 72
839304200,144, 72
139951576,143, 73
799033478,144, 72
863263164,144, 72
145069261,143, 73
815070816,144, 72
857574597,144, 72
799812737,144, 72
802886683,144, 72
837989440,144, 72
823311021,144, 72
874634703,144, 72
819880932,144, 72
839984573,144, 72
823709707,144, 72
902988457,144, 72
837782393,144, 72
831931604,144, 72
794361647,144, 72
830873334,144, 72
810161784,144, 72
139224184,143, 73
983019610,144, 72
826942975,144, 72
816715857,144, 72
151768250,143, 73
851036271,144, 72
137428490,143, 73
812742699,144, 72
24166203,142, 74
841873645,144, 72
828229805,144, 72
842158061,144, 72
825971720,144, 72
827794104,144, 72
862170595,144, 72
147707801,143, 73
846063995,144, 72
817609040,144, 72
835854131,144, 72
795599503,144, 72
140700544,143, 73
813256125,144, 72
982210326,144, 72
873709220,144, 72
873303641,144, 72
139185123,143, 73
815468080,144, 72
799983875,144, 72
816824873,144, 72
836938136,144, 72
851325648,144, 72
818805312,144, 72
137931073,143, 73
861427092,144, 72
869956068,144, 72
863464686,144, 72
815855353,144, 72
982272907,144, 72
140984011,143, 73
817808371,144, 72
843766768,144, 72
851521434,144, 72
886072008,144, 72
846886385,144, 72
801332125,144, 72
903375184,144, 72
910705103,144, 72
849158539,144, 72
886414419,144, 72
842187220,144, 72
885575252,144, 72
863034488,144, 72
887848620,144, 72
793560956,144, 72
793738194,144, 72
145552780,143, 73
837505794,144, 72
843299011,144, 72
833206830,144, 72
816088029,144, 72
23192259,142, 74
138689003,143, 73
22922954,142, 74
140401900,143, 73
800971495,144, 72
848249763,144, 72
835725836,144, 72
816509368,144, 72
144507178,143, 73
827393947,144, 72
141938774,143, 73
886067986,144, 72
133612636,143, 73
137443468,143, 73
22899950,142, 74
822390689,144, 72
869689989,144, 72
814729259,144, 72
834319040,144, 72
854862145,144, 72
812267489,144, 72
147658547,143, 73
842232606,144, 72
138876607,143, 73
828308390,144, 72
143344484,143, 73
856831187,144, 72
826733782,144, 72
801528710,144, 72
814730299,144, 72
147273707,143, 73
137824357,143, 73
824914561,144, 72
856357589,144, 72
831914203,144, 72
860249903,144, 72
801395360,144, 72
980886031,144, 72
823725587,144, 72
839254260,144, 72
820834889,144, 72
139957302,143, 73
824896712,144, 72
848136013,144, 72
903011896,144, 72
860092310,144, 72
840712254,144, 72
856872930,144, 72
823563180,144, 72
885758235,144, 72
886025634,144, 72
812211462,144, 72
790094829,144, 72
874468103,144, 72
835079629,144, 72
801598798,144, 72
139931226,143, 73
864241397,144, 72
824995263,144, 72
836529699,144, 72
883636733,144, 72
854977824,144, 72
817787872,144, 72
853455413,144, 72
867087571,144, 72
820068631,144, 72
831008269,144, 72
821964619,144, 72
807904830,144, 72
869518907,144, 72
148835582,143, 73
790272974,144, 72
143487400,143, 73
799760774,144, 72
