original_number,capture_iteration,capture_state,capture_number
911,14,EVEN,866
911,15,ODD,433
911,16,EVEN,1300
911,17,EVEN,650
911,18,ODD,325
911,19,EVEN,976
911,20,EVEN,488
911,21,EVEN,244
911,22,EVEN,122
911,23,ODD,61
911,24,EVEN,184
911,25,EVEN,92
911,26,EVEN,46
911,27,ODD,23
911,28,EVEN,70
911,29,ODD,35
911,30,EVEN,106
911,31,ODD,53
911,32,EVEN,160
911,33,EVEN,80
911,34,EVEN,40
911,35,EVEN,20
911,36,EVEN,10
911,37,ODD,5
911,38,EVEN,16
911,39,EVEN,8
911,40,EVEN,4
911,41,EVEN,2
911,42,END,1
115,1,ODD,115
115,2,EVEN,346
115,3,ODD,173
115,4,EVEN,520
115,5,EVEN,260
115,6,EVEN,130
115,7,ODD,65
115,8,EVEN,196
115,9,EVEN,98
115,10,ODD,49
115,11,EVEN,148
115,12,EVEN,74
115,13,ODD,37
115,14,EVEN,112
115,15,EVEN,56
115,16,EVEN,28
115,17,EVEN,14
115,18,ODD,7
115,19,EVEN,22
115,20,ODD,11
115,21,EVEN,34
115,22,ODD,17
115,23,EVEN,52
115,24,EVEN,26
115,25,ODD,13
115,26,EVEN,40
115,27,EVEN,20
115,28,EVEN,10
115,29,ODD,5
115,30,EVEN,16
115,31,EVEN,8
115,32,EVEN,4
115,33,EVEN,2
115,34,END,1
857,1,ODD,857
857,2,EVEN,2572
857,3,EVEN,1286
857,4,ODD,643
857,5,EVEN,1930
857,6,ODD,965
857,7,EVEN,2896
857,8,EVEN,1448
857,9,EVEN,724
857,10,EVEN,362
857,11,ODD,181
857,12,EVEN,544
857,13,EVEN,272
857,14,EVEN,136
857,15,EVEN,68
857,16,EVEN,34
857,17,ODD,17
857,18,EVEN,52
857,19,EVEN,26
857,20,ODD,13
857,21,EVEN,40
857,22,EVEN,20
857,23,EVEN,10
857,24,ODD,5
857,25,EVEN,16
857,26,EVEN,8
857,27,EVEN,4
857,28,EVEN,2
857,29,END,1
