original_number,capture_iteration,capture_state,capture_number
287,41,EVEN,4
287,42,EVEN,2
287,43,END,1
143,1,ODD,143
143,2,EVEN,430
143,3,ODD,215
143,4,EVEN,646
143,5,ODD,323
143,6,EVEN,970
143,7,ODD,485
143,8,EVEN,1456
143,9,EVEN,728
143,10,EVEN,364
143,11,EVEN,182
143,12,ODD,91
143,13,EVEN,274
143,14,ODD,137
143,15,EVEN,412
143,16,EVEN,206
143,17,ODD,103
143,18,EVEN,310
143,19,ODD,155
143,20,EVEN,466
143,21,ODD,233
143,22,EVEN,700
143,23,EVEN,350
143,24,ODD,175
143,25,EVEN,526
143,26,ODD,263
143,27,EVEN,790
143,28,ODD,395
143,29,EVEN,1186
143,30,ODD,593
143,31,EVEN,1780
143,32,EVEN,890
143,33,ODD,445
143,34,EVEN,1336
143,35,EVEN,668
143,36,EVEN,334
143,37,ODD,167
143,38,EVEN,502
143,39,ODD,251
143,40,EVEN,754
143,41,ODD,377
143,42,EVEN,1132
143,43,EVEN,566
143,44,ODD,283
143,45,EVEN,850
143,46,ODD,425
143,47,EVEN,1276
143,48,EVEN,638
143,49,ODD,319
143,50,EVEN,958
143,51,ODD,479
143,52,EVEN,1438
143,53,ODD,719
143,54,EVEN,2158
143,55,ODD,1079
143,56,EVEN,3238
143,57,ODD,1619
143,58,EVEN,4858
143,59,ODD,2429
143,60,EVEN,7288
143,61,EVEN,3644
143,62,EVEN,1822
143,63,ODD,911
143,64,EVEN,2734
143,65,ODD,1367
143,66,EVEN,4102
143,67,ODD,2051
143,68,EVEN,6154
143,69,ODD,3077
143,70,EVEN,9232
143,71,EVEN,4616
143,72,EVEN,2308
143,73,EVEN,1154
143,74,ODD,577
143,75,EVEN,1732
143,76,EVEN,866
143,77,ODD,433
143,78,EVEN,1300
143,79,EVEN,650
143,80,ODD,325
143,81,EVEN,976
143,82,EVEN,488
143,83,EVEN,244
143,84,EVEN,122
143,85,ODD,61
143,86,EVEN,184
143,87,EVEN,92
143,88,EVEN,46
143,89,ODD,23
143,90,EVEN,70
143,91,ODD,35
143,92,EVEN,106
143,93,ODD,53
143,94,EVEN,160
143,95,EVEN,80
143,96,EVEN,40
143,97,EVEN,20
143,98,EVEN,10
143,99,ODD,5
143,100,EVEN,16
143,101,EVEN,8
143,102,EVEN,4
143,103,EVEN,2
143,104,END,1
841,1,ODD,841
841,2,EVEN,2524
841,3,EVEN,1262
841,4,ODD,631
841,5,EVEN,1894
841,6,ODD,947
841,7,EVEN,2842
841,8,ODD,1421
841,9,EVEN,4264
841,10,EVEN,2132
841,11,EVEN,1066
841,12,ODD,533
841,13,EVEN,1600
841,14,EVEN,800
841,15,EVEN,400
841,16,EVEN,200
841,17,EVEN,100
841,18,EVEN,50
841,19,ODD,25
841,20,EVEN,76
841,21,EVEN,38
841,22,ODD,19
841,23,EVEN,58
841,24,ODD,29
841,25,EVEN,88
841,26,EVEN,44
841,27,EVEN,22
841,28,ODD,11
841,29,EVEN,34
841,30,ODD,17
841,31,EVEN,52
841,32,EVEN,26
841,33,ODD,13
841,34,EVEN,40
841,35,EVEN,20
841,36,EVEN,10
841,37,ODD,5
841,38,EVEN,16
841,39,EVEN,8
841,40,EVEN,4
841,41,EVEN,2
841,42,END,1
817,1,ODD,817
817,2,EVEN,2452
817,3,EVEN,1226
817,4,ODD,613
817,5,EVEN,1840
817,6,EVEN,920
817,7,EVEN,460
817,8,EVEN,230
817,9,ODD,115
817,10,EVEN,346
817,11,ODD,173
817,12,EVEN,520
817,13,EVEN,260
817,14,EVEN,130
817,15,ODD,65
817,16,EVEN,196
817,17,EVEN,98
817,18,ODD,49
817,19,EVEN,148
817,20,EVEN,74
817,21,ODD,37
817,22,EVEN,112
817,23,EVEN,56
817,24,EVEN,28
817,25,EVEN,14
817,26,ODD,7
817,27,EVEN,22
817,28,ODD,11
817,29,EVEN,34
817,30,ODD,17
817,31,EVEN,52
817,32,EVEN,26
817,33,ODD,13
817,34,EVEN,40
817,35,EVEN,20
817,36,EVEN,10
817,37,ODD,5
817,38,EVEN,16
817,39,EVEN,8
817,40,EVEN,4
817,41,EVEN,2
817,42,END,1
685,1,ODD,685
685,2,EVEN,2056
685,3,EVEN,1028
685,4,EVEN,514
685,5,ODD,257
685,6,EVEN,772
685,7,EVEN,386
685,8,ODD,193
685,9,EVEN,580
685,10,EVEN,290
685,11,ODD,145
685,12,EVEN,436
685,13,EVEN,218
685,14,ODD,109
685,15,EVEN,328
685,16,EVEN,164
685,17,EVEN,82
685,18,ODD,41
685,19,EVEN,124
685,20,EVEN,62
685,21,ODD,31
685,22,EVEN,94
685,23,ODD,47
685,24,EVEN,142
685,25,ODD,71
685,26,EVEN,214
685,27,ODD,107
685,28,EVEN,322
685,29,ODD,161
685,30,EVEN,484
685,31,EVEN,242
685,32,ODD,121
685,33,EVEN,364
685,34,EVEN,182
685,35,ODD,91
685,36,EVEN,274
685,37,ODD,137
685,38,EVEN,412
685,39,EVEN,206
685,40,ODD,103
685,41,EVEN,310
685,42,ODD,155
685,43,EVEN,466
685,44,ODD,233
685,45,EVEN,700
685,46,EVEN,350
685,47,ODD,175
685,48,EVEN,526
685,49,ODD,263
685,50,EVEN,790
685,51,ODD,395
685,52,EVEN,1186
685,53,ODD,593
685,54,EVEN,1780
685,55,EVEN,890
685,56,ODD,445
685,57,EVEN,1336
685,58,EVEN,668
685,59,EVEN,334
685,60,ODD,167
685,61,EVEN,502
685,62,ODD,251
685,63,EVEN,754
685,64,ODD,377
685,65,EVEN,1132
685,66,EVEN,566
685,67,ODD,283
685,68,EVEN,850
685,69,ODD,425
685,70,EVEN,1276
685,71,EVEN,638
685,72,ODD,319
685,73,EVEN,958
685,74,ODD,479
685,75,EVEN,1438
685,76,ODD,719
685,77,EVEN,2158
685,78,ODD,1079
685,79,EVEN,3238
685,80,ODD,1619
685,81,EVEN,4858
685,82,ODD,2429
685,83,EVEN,7288
685,84,EVEN,3644
685,85,EVEN,1822
685,86,ODD,911
685,87,EVEN,2734
685,88,ODD,1367
685,89,EVEN,4102
685,90,ODD,2051
685,91,EVEN,6154
685,92,ODD,3077
685,93,EVEN,9232
685,94,EVEN,4616
685,95,EVEN,2308
685,96,EVEN,1154
685,97,ODD,577
685,98,EVEN,1732
685,99,EVEN,866
685,100,ODD,433
685,101,EVEN,1300
685,102,EVEN,650
685,103,ODD,325
685,104,EVEN,976
685,105,EVEN,488
685,106,EVEN,244
685,107,EVEN,122
685,108,ODD,61
685,109,EVEN,184
685,110,EVEN,92
685,111,EVEN,46
685,112,ODD,23
685,113,EVEN,70
685,114,ODD,35
685,115,EVEN,106
685,116,ODD,53
685,117,EVEN,160
685,118,EVEN,80
685,119,EVEN,40
685,120,EVEN,20
685,121,EVEN,10
685,122,ODD,5
685,123,EVEN,16
685,124,EVEN,8
685,125,EVEN,4
685,126,EVEN,2
685,127,END,1
269,1,ODD,269
269,2,EVEN,808
269,3,EVEN,404
269,4,EVEN,202
269,5,ODD,101
269,6,EVEN,304
269,7,EVEN,152
269,8,EVEN,76
269,9,EVEN,38
269,10,ODD,19
269,11,EVEN,58
269,12,ODD,29
269,13,EVEN,88
269,14,EVEN,44
269,15,EVEN,22
269,16,ODD,11
269,17,EVEN,34
269,18,ODD,17
269,19,EVEN,52
269,20,EVEN,26
269,21,ODD,13
269,22,EVEN,40
269,23,EVEN,20
269,24,EVEN,10
269,25,ODD,5
269,26,EVEN,16
269,27,EVEN,8
269,28,EVEN,4
269,29,EVEN,2
269,30,END,1
451,1,ODD,451
451,2,EVEN,1354
451,3,ODD,677
451,4,EVEN,2032
451,5,EVEN,1016
451,6,EVEN,508
451,7,EVEN,254
451,8,ODD,127
451,9,EVEN,382
451,10,ODD,191
451,11,EVEN,574
451,12,ODD,287
451,13,EVEN,862
451,14,ODD,431
451,15,EVEN,1294
451,16,ODD,647
451,17,EVEN,1942
451,18,ODD,971
451,19,EVEN,2914
451,20,ODD,1457
451,21,EVEN,4372
451,22,EVEN,2186
451,23,ODD,1093
451,24,EVEN,3280
451,25,EVEN,1640
451,26,EVEN,820
451,27,EVEN,410
451,28,ODD,205
451,29,EVEN,616
451,30,EVEN,308
451,31,EVEN,154
451,32,ODD,77
451,33,EVEN,232
451,34,EVEN,116
451,35,EVEN,58
451,36,ODD,29
451,37,EVEN,88
451,38,EVEN,44
451,39,EVEN,22
451,40,ODD,11
451,41,EVEN,34
451,42,ODD,17
451,43,EVEN,52
451,44,EVEN,26
451,45,ODD,13
451,46,EVEN,40
451,47,EVEN,20
451,48,EVEN,10
451,49,ODD,5
451,50,EVEN,16
451,51,EVEN,8
451,52,EVEN,4
451,53,EVEN,2
451,54,END,1
839,1,ODD,839
839,2,EVEN,2518
839,3,ODD,1259
839,4,EVEN,3778
839,5,ODD,1889
839,6,EVEN,5668
839,7,EVEN,2834
839,8,ODD,1417
839,9,EVEN,4252
839,10,EVEN,2126
839,11,ODD,1063
839,12,EVEN,3190
839,13,ODD,1595
839,14,EVEN,4786
839,15,ODD,2393
839,16,EVEN,7180
839,17,EVEN,3590
839,18,ODD,1795
839,19,EVEN,5386
839,20,ODD,2693
839,21,EVEN,8080
839,22,EVEN,4040
839,23,EVEN,2020
839,24,EVEN,1010
839,25,ODD,505
839,26,EVEN,1516
839,27,EVEN,758
839,28,ODD,379
839,29,EVEN,1138
839,30,ODD,569
839,31,EVEN,1708
839,32,EVEN,854
839,33,ODD,427
839,34,EVEN,1282
839,35,ODD,641
839,36,EVEN,1924
839,37,EVEN,962
839,38,ODD,481
839,39,EVEN,1444
839,40,EVEN,722
839,41,ODD,361
839,42,EVEN,1084
839,43,EVEN,542
839,44,ODD,271
839,45,EVEN,814
839,46,ODD,407
839,47,EVEN,1222
839,48,ODD,611
839,49,EVEN,1834
839,50,ODD,917
839,51,EVEN,2752
839,52,EVEN,1376
839,53,EVEN,688
839,54,EVEN,344
839,55,EVEN,172
839,56,EVEN,86
839,57,ODD,43
839,58,EVEN,130
839,59,ODD,65
839,60,EVEN,196
839,61,EVEN,98
839,62,ODD,49
